 Team Number,How do you feel about your team,Feedback on team's performance,What is the good thing about your team,What is the bad thing about your team,What improvements does your team needs to do for better performance,"What would you have done differently, if you are the team leader"
Team 20,Very Satisfied,Very good,Good team cooperation,Nothing,Daily meetings about project status,
9,Very Satisfied,Satisfied,Discussion,None,Nothing,I would verify whether all the team is able to work with a same IDE and softwares.
44,Somewhat satisfied,good,The are good in communication,They don't keep up the timing,Need to be cooperative with the co mates,I would have make the team too interactive with everyone
48,Very Satisfied,VERY SUPPORTIVE TEAM,COMMUNICATION ,-,MORE DISCUSSIONS,I WOULD HAVE KEPT MORE MEETINGS TO GET TO KNOW AND MAKE COMFORTABLE WITH EACH OTHER 
46,Somewhat satisfied,Good,Helping each other,Nothing,Nothing,If i am a team leader more concentration on each and every team members work
40,Very Satisfied,"initial somewhat struggled but now,going perfectly",good response.they say only yes for everying ,one person didn't joined still in our team even though i mailed him with group invite link,to complete the work in time there was some little bit delay in completing work,our group going perfectly i would follow this in addition to that i give important to timming
team-03,Very Satisfied,we are in the final stage of project,everyone is active all the time. This good thing of our team.,Nothing.,we are improving in all aspect like communicating each other and in work to.,i will take care of  that everyone's contribution should be equal. like that i will split the work.
17,Very Satisfied,Good,All are equally contribute their works,Nothing,need to add the extra idea to improve our project more,if am the team leader. i learn from the project and also improve the project idea also.
42,Very Satisfied,Everyone are doing their best ,Coordination,None,My team is already at its better performance,I will make my team members to equally contribute on their tasks.
Team_37,Very Satisfied,Good,Coordination is good among our Team ,Out of 11 members only 8members are active,If the remaining members are also active then it would be great and the work  can be done more effectively.,I would see that all the members in our team be in active so that it would give a better result for our work.
49,Neither satisfied nor dissatisfied,It is moderate with a few setbacks .,Everyone agrees when a  decision is taken . ,Unable to meet at time and help each other with their challenges .,Become more interactive about the project .,Arrange more regular meets.
Team 3,Somewhat satisfied,"Its Good, even if little more involvement was gave it would be best.",They are really interested to do project.,Nothing serious.,someguys really need to collab among mates,I would build strong co ordination among mates
30,Somewhat satisfied,The team is very Hardworking and everyone is doing there assigned tasks with dedication.,The connectivity between team members,Different People different opinions on deciding the projects,the time for completing the project is not that much,I will connect with all the members individually and assign them the tasks in which they are good
50,Very Satisfied,good,good  communication,no,nothing,I would have interacted personaly
10,Very Satisfied,satisfied,all are supportiive,nothing,improve communication,i will covert weakness into strengths
22,Somewhat satisfied,My team performance is very good and we are coordinated.,Coordination and Respect to all members opinion.,Sometimes some people are not replying.,"Still some are not very active,they need to come forward.",Daily I'll conduct meet and will hear out everyone's opinion and then proceed for the project.
2,Very Satisfied,Good,They created group and shared their project idea,No commands,should be cooperative to the team members,"If I am a teamleader, I will get in touch will each of them and i will help them if they felt any difficulty in projects"
34,Very Satisfied,Great ,Every Person is contributing in Project.,Some Time management Problem,Time Management,I ask everyone for their best time for project and meet at the same time when maximum people is available.
30,Very Satisfied, Very good team ,Collaborative work culture,No bad thing to mention,Need to be attending all meets,I'll be pushing our teammates to complete before deadline
Team 41,Very Satisfied,Nice and cooperative,Discussing,No,,
18,Very Satisfied,Good they all are cooperating very well.,Being on time for discussion.,All are good not much bad to say about our team.,If we work in group together more than before it will be better.,I will keep meet thrice a day and ask them to submit their daily task and discuss about the problem about the project in the meet.
15,Somewhat satisfied,Good,Works are split between members,NA,Still more detailed discussion is required,"More clear in what we are going to do, give detailed information to peers"
42,Very Satisfied,Good,Everyone is open about sharing their views without any hesitation,none,none,none
Team 38,Very Satisfied,We are doing good by equally contributing to the project and seeking progress in each step .,co - ordination,nothing,no improvements  required we are doing our level best.,I would have organize work to still more better way.
46,Very Satisfied,we are all contributed in this mini project.,Splitting equal work to every team members makes to finish the task easier. ,None,In connection between team members,"Everyday ,I will arrange a team meet."
24,Very Satisfied,All are good at their work,We communicate well with each other and supports each other.,Nothing,Nothing much better,Taking report from all what they had done at the end of the day. Taking and giving suggestions regarding that from all the team members.
45,Very Satisfied,Everyone doing their job in good way.,All the member of my team is comfortable with each other.,Some time one or two member not in our meating due to their own other work.,"If we can arrange 2 or 3 time meating in a day ,then we can do more good things in our project.","Every things are in go way, so I can not say any thing on that."
13,Somewhat dissatisfied,Nice,Co ordination,Nothing,Faster communication,
28,Very Satisfied,team performance is good,good is that all members listen to other member and if any problem they are help to solve it,one thing is that some members are new  may be they join late so facing we face challenges,team needs to do more work as proffessional,As a team leader i will take care that all members of team must have their contribution
46,Very Satisfied,Good,every one done their task,none,having individual opinion,divide the work so it would be easy to go on project easily
5,Very Satisfied,Team is going good In my team we are started work and separate the task for everyone,In my team the cooperation is the good thing to finish the project,,Everything is fine ,Actually I Contribute more for my team everything is going fine
48,Very Satisfied,Overall good ,Helpful,Nothing,Give more time to build project and skills,I will plan the overall process to be done in stepwise manner. Afterwards I will allot the work according to every team members skill and experience and motivate and try to help them  them to get things done on time.
43,Very Satisfied,very good and hard working,coordination and helping each orther,nil,nothing ,make more interactive 
50,Somewhat satisfied,some teammates not involving,2 3 peoples are taking efforts in project and that appreciated ,-,every person have to involve ,i took meetings and told everyone what to do and how to involve in the project.
team-17,Very Satisfied,my team is perfect to collaborate with each other . They are very much interactive and helping me in any situation where i struck ,They very active at anytime and creating meeting regarding the project we choose and very helpfull,nothing bad thing in your team,my team is perfectly awesome and doing all the things perfectly i hope to continue the same .,i will lead the team with good management skills and helpful to each member in my team.As a leader i will associate each and every person to do the work related to the project and explain them properly about the project and make sure that every to do the work together .
29,Very Satisfied,Team members are cooperative and supportive,Quick responses and teamwork ,,More meetings ,
16,Somewhat satisfied,Good,We work in team,-,Should not fully depend on others,I will try to communicate more and discuss more so that team together can complete before deadline
17,Somewhat satisfied,very good,take every persons opinion,na,na,i would take each and every persons opinion and would make sure that every person in my team is getting to know how diffrently are we doing things from others and making our project better.
sudham gopal jadhao,Very Satisfied,I really got  a good team and i very happy and excited to be part of the team,good Coordination & time management,NA,NA,I will share the work to every one and explain about project .we wil do smart work on it together
5,Somewhat satisfied,good,Treat friendly,Nothing,Nothing,I will arrange the meet and discussed about our project
29,Neither satisfied nor dissatisfied,good,some members very active and help other too,some people not responding,all have to come together for better result,contribute work to all the member and take daily report and connect session with everyone
33,Somewhat satisfied,good,Everyone is supportive,none as of now,our team should do more team meets, I would try to help my peers in resolving their issues
3,Somewhat satisfied,We are doing good. ,Good thing is everyone is so responsible and doing their work properly.,nothing till now,,I will distribute the work equally.
23,Very Satisfied,very good,communicating each other and working together to be best,NA,talking each other,first fall I will search what are the use of my project and how it help for customber . I will explain everything in proper maner and try to convay information to customber
21,Very Satisfied,All were working together.,All team members were helping each other.,Nothing,Lack of communication sometimes.,I would have properly divided the task into groups.
31,Very Satisfied,Good,Everyday we connect with one meeting,Nothing,Nothing,Nothing
18,Very Satisfied,WELL AND GOOD,EQUAL CONTRIBUTION,NOTHING,NOTHING,I divide all the work equally among team members
28,Very Satisfied,I am really happy with your determination to finish this project.,Everyone contributes their fair shares,null,Set and track attain goals,Lead and motivate the team
34,Very Satisfied,"We're doing good, Collaborating daily, helping each other for our works ",Communication and Unity,There are 2 teammates in our team They're responding to calls and messages should take a look into that.,NA,"Actually, I'm acting like team leader here I have created a personal group by gathering everyone names and I'm pushing them to complete the that they have assigned!  Also created a daily meeting link and sent invitation to individuals, I'm making sure everyone are participating equally in the project and if anyone is having problem I'm contacting them personally and resolving thier doubts!  If I I'm a Team Leader I would have done each and every thing that I'm currently doing."
43,Very Satisfied,We had very good bond between everyone and performed every tasks by understanding each others strenghtness.,coordination is at best.,Nothing,Nothing ,I will manage the time according to the work and strength of my team mates and do separate the work task according to the strength of my team mates.
3,Very Satisfied,good and interactive,implementing everyone ideas,nothing,nothing,
3,Very Satisfied,Good,My team members always be supportive among us.,Nil,It's going better.,"If i am the team leader, i will try to implement this project easily without any hesitation."
50,Somewhat satisfied,Good Performance,"Everyone is interactive, and participating.","Majority in different backgrounds so, only few know about the coding","Learn more coding, to implement the projects.","I would have know everyone's strength in the various fields of the doing the project and make sure they do their work properly, by conducting meetings at regular intervals."
47,Somewhat satisfied,good work,team unity we were came on one decision for our project,N/A,We all are need to connect eachother as much as possible .,"As a team leader, I will interact first and then assign tasks or even set the schedule for your team members. "
14,Very Satisfied,,"When we work together , We learn faster.",,,
14,Very Satisfied,Everyone is Performing very well throughout the process.,Everyone is supportive and collabrating.,NA,NA,If I am leader of team I will see our day to day operations and tasks performing by team members going properly.
3,Very Satisfied,The performance is going good and everything in the project is going flow ,coordination is very good,I didn't found any thing bad,we should be do improvements in coding part so we can give better performance,I would have take the project in different way and in organized manner
12,Very Satisfied, Very Satisfied,Understanding and Unity,NA,we need more interaction,"As a team leader,  required to assign tasks or even set the schedule for my team members also setting strategy and monitoring progress towards goal."
42,Somewhat satisfied,working fine together,quick to take roles,none,more feedback,more meet sessions
12,Very Satisfied,Good Team Sprit and Good Coordination,Every one can adjust easily,,We are doing well,Nothing
27,Very Satisfied,Really Great.,involvement in discussion.,Nope,Still need some more conversation between each other..,Motivating and assigning the work that need to done by giving the deadline for that.
8,Very Satisfied,The performance of team work is good,Team can supportive ans communication is good,coordination is missing some peoples not attending the your meetings,please attending the meeting at a time,I take a team in good position and I can sure to  complete a work in Intime.
12,Very Satisfied,Very good,Collaborative work,Nothing bad,Communication,Nothing new
Team-22,Very Satisfied,Excellent performance,"1.They communicate well with each other,they are focus on goals and result.",nothings,nothing,Well organized our team work .
09,Very Satisfied,satisfied with the team's performance,things are doing perfectly,nothing,nothing need to be improved our team are doing marvelous performance,I will follow the same process and method.
34,Very Satisfied,GOOD  ,Communication,Nothing,Make the daily workflow more efficient,Cast a vision that people want to be a part project
5,Very Satisfied,Excellent,Team Work,There is no bad thing in my team,It's better to track work progress of each member regularly,"I will track my team members work progress regularly, If they face any problems , I will discuss with them and clarify them "
Team 4,Very Satisfied,it was good working with my team,active paticipation and interactive,nothing,nothing need it was a good team,
28,Very Satisfied,Performance is good,We connect and do things together,Some members sometimes do not connect and discuss in the meeting.,They can learn more stuffs so that in future we can perform much better.,I have come collectively with my team members and to things together and ask if there is any problem with them so that they are not performing well
12,Very Satisfied,Good Coordination,Good Coordination and helping with each other,nothing,no need,maintain coordination
24,Somewhat satisfied,Good,Satisfied work,Some what not response,get some fast responses,To get together work process will be faster
16,Somewhat satisfied,all are in the same stage of learning new things ,individual contribution is good,take a little bit time to connect,all good ,making their individual contribution into team work to make a good project
Team Number-14,Very Satisfied,Everything is going good with our team ,if we have any doubt the team members ready to clarify.,No bad things ,very satisfied with the team performance ,I conduct meeting and speak individually with eveyone .
20,Very Satisfied,Everything going quite good,Interaction is quite good,Nothing much,Need for some more contribution from every individual,I would organized much better
40,Very Satisfied,it is very good,every one are responding,until now there is no bad review on them,NA,i am not the team leader
08,Very Satisfied,Good team coordination,Team work,No,No,No
team6,Somewhat satisfied,good,we conduct meeting daily 2 times so  we easily clarify our douths,n\a,our's is big project we need to improve our meeting time to get better performance,i can able to give row wise work for all of them
4,Very Satisfied,team work is very good,co operation ,NA,going well as of now,will ask each people to take charge at different point of time as it is training all will gain experience
34,Very Satisfied,Team is performing good  yet.There is more work we have to do.,Each and Every member of the team is giving his/her 90% on the project.,Yet there is nothing as such.,We have to give 100% effort now.,"I'll make the project more attractive, more useful and would tell my team member to be more innovative."
4,Very Satisfied,day by day our team member discussed more,everyone is collabarating at equal amount of work,none,some of them are little bit slow intially ,distribute every part of works to my team member and guide them what to do and how to do.
15,Very Satisfied,They are contributing and putting there efforts nicely,We take meetings seriously.,We are taking some more time to do the peroject.,We have to connect more often.,I would have asked each one of my team member that which part of project they can do comfortably.
20,Very Satisfied,Response is very good from all my team mates in all aspects.,Interaction is very effective,-nil-,Need some more contribution from every individual.,I would have suggested my team to pickup someother project .
Team-16,Very Satisfied,Everything is good., All team members are good. They perfectly do their work to given their.,It will Take more time to do their work.,Everything is good.,To do their work fast and effective.
40,Very Satisfied,very good team,considering veryone and participating,nothing,timing of joinning,coordination
Team-16,Somewhat satisfied,Good Performance by team.,Good Co-Ordination.,Nothing,Spending more time on project,I would have managed more meeting for more discussion on project.
44,Very Satisfied,Good,Helping each other,Need more co-ordination ,Distributing the work equally ,Co-ordination and distribution of work equally
49,Neither satisfied nor dissatisfied,Need everyone's contribution,,,,
41,Very Satisfied,Good,Communicate well with each other,Nothing,Set the goals,I will do my best
19,Very Satisfied,All members in my Team is do well and give best for the project ,All are coordinate  well and  share their knowledge  to the team ,No one know the depth of the programming That's  why we have to faced problem ,Learn the code well and study the programming and their Application ,First of I  Coordinate  the team in a very well manner and Learn from other and manage the team work 
23,Very Satisfied,Good,team coordination,NA,To be on time to start the work,I will make the team interactive with each other
8,Somewhat satisfied,somewhat satisfied,taking initiative ,some of colliges didint respond,collaboration,"first i dicide good in documentation,implementation and divide the tasks one by one"
11,Somewhat satisfied,We are really good at teamwork and work split. ,Our teammates are really good and they are working hard,Some of our teammates are not so active. They wanted to learn something new but the they are not coming up to work,We are doing good as a whole team but I am trying really hard to make the every to involve,"We are following agile methodology with systematic scrum calls. The new thing that we are doing is in the meeting, it is mandatory that everyone in the  team should talk and share their opinion. "
37,Very Satisfied,I got a very interactive team . And all of my teammates are contributing their 100%. ,Good thing about my team is Sharing Knowledge each other.,Not having 100% knowledge . But we all are doing best to complete project by learning at every stage.,WE have to gain some knowledge before doing an practical work.,Make my teammates comfortable.
14,Very Satisfied,Good,Well coordinated,none,none,would have conducted more mock reviews
36,Somewhat satisfied,Good,Adaptability,NA,NA,As a team leader I often required to assign tasks set the schedule for my team members
25,Very Satisfied,Great Team,Very interactive,NA,Should be more active in group,I will try my level best to motivate them and importance of project participation when working with the team 
27,Somewhat satisfied,Good,Helpful,Nothing like that.,By communicating more with team members.,I would have communicated well and set the plan for the project.
28,Very Satisfied,The overall performance of the team is good.,All the members of the team are coordinative and responsive.,Time consuming is to be minimized .,"The Team require to improve in programming work , else it is good with workflow.",cheer up the team to work together and bring out the project success.
45,Very Satisfied,iam happy with my team determination to finish this project,supportive and friendly ,procrastinating the work,To do given work on time,no difference
24,Very Satisfied,OVERALL  A VERY GOOD TEAM PERFORMANCE ,everyone contributes their fair share,nothing ,focus on goal and results,having regular conversations  to get innovation ideas form everyone
30,Very Satisfied,All are very supportive and cooperative.,They communicate and contributes very well also support each others.,nothing,,
1,Very Satisfied,Good,NA,NA,NA,NA
46,Neither satisfied nor dissatisfied,good,understanding ,nothing,nothing,nothing much
Team No : 6,Very Satisfied,"Though I haven't attended the Python, GitHub Training they guided me properly to finish this Project",Best in Leadership,"No, Nothing to say like this. They are really good at group and Individual contribution.",No Improvements.,"If I were TL, I would done the same. Though I on-boarded on Dec 1 and I doesn't got the proper training, they taught & guide me. This is what Team Leader have to do. I am really fine with this, and also I will follow the same pattern, If I were Team Leader"
11,Very Satisfied,Team members are cooperative,Every team member gave their 100% contributtion.,,we need to do more practice .,I will make time sheet for all tasks and try to complete all the work within time with more correctiveness.
42,Very Satisfied,Good,Collaboration,There is NO bad Thing in my Team,To Work hard,"I will get all inputs from my colleagues, then I provide a Task "
15,Very Satisfied,team is good and more cooperative,Giving suggestions and listening to the suggetsions what others are giving,N/A,More speed like doing the things faster,give more suggestions
Team 27,Somewhat satisfied,Good ,Good Team,Bad Coordination,Everyone should talk,I will ask which part your so easy to work and i will interchange the part so that they have a good communication with other team members
7,Somewhat satisfied,Going well,we come together as team ,Few team members remaining idle,Time management,Given ideas to fix the bug
46,Very Satisfied,They are doing really good. ,I got some native members that we can connect even better. ,Everything is better now compared to the day we connected. ,We can do much better work if we have some more time. ,I'll give everyone equal amount of work shared with them and deadlines according to the project. So that everyone completes there work faster. 
41,Very Satisfied,"all the person are active in the team, team is progressing with good ideas","motivated , enthusiastic team",none,should do more research on project,"probably my team is proper guiding ,so i will also do that same when i was team leader"
43,Very Satisfied,good,togetherness,none,none,same as we are now doing
33,Very Satisfied,team is doing good and task will be done before deadline,everyone is so cooperative in terms of listening what others have to say and are ready to help ,"at the start, we have faced some communication issues but after sometime we have had meetings and figured that out","for now, we are running with good pace and if we will keep this speed, we will complete our assignment in the given time. ","I always finish given task before deadline, like I don't create rush at the end."
44,Somewhat satisfied,"At initial stage, we doesn't know each other, so it's difficult to start the conversation but later we have clear about the project",My peers wait for if any person not available at the time,None,"Not only focus on their individual performance, they support all of us in the team","I have not clear about some execution part, like that some peers has confusion so, my first discussion about this and take clear of it then we start working on the project"
Team-6,Very Satisfied,Good,All are worked together to complete the task,No,For better performance we need to learn more about our project and try to work on it.,if i was a team leader i will collaborate with my team members and try to solve the problems what we are facing in our project.
37,Very Satisfied,"Good co-ordination with each other , and every one are very supportive and all of us split the work and execute the work  on time . ","Better understanding , and every one communicate each other even tough we are new member form different location and team work will go on smoothly. ",One of our team member not respond till now .,To be More active in there individuals work.,I assign the work to every individual and combined them in single unit and tell me team members to share your knowledge to each team members so that every one know the idea about each concept if team share there knowledge and experience with team. 
12,Very Satisfied,Everyone is trying their best,All are completing their work as per distributed by team members,Nothing till now,Have to put more efforts for better performance,"If I worked as team member, then first I should be punctual about my work as well as help all to understand and complete the things on time"
19,Very Satisfied,very good,all are very motivated ,nothing,develop soft skill,"meeting all member present and any problem any one in our team ,i resolve it with the help of team"
7,Very Satisfied,perfect,everyone is tering to give their best,need to be more active ,be active,suggest everyone to join the team meeting on time 
38,Neither satisfied nor dissatisfied,Overall the team members are good just they need to interact more and give there reviews on things instead of directly accepting,Everyone is ready to to take the work and do it on time,Many of the team member's are very less interactive due to which getting everyone's opinion is difficult,More interaction with each other is needed even if there are clashes,I would have taken a meet before starting with the project and interact with them a bit to know them because this would have made them a little interactive and then later start with project because in my opinion people tend to give more ideas and reviews in friendly environment where they know each other 
43,Very Satisfied,GOOD,TEAM WORK,NONE,Need knowledge in programming languages,I can perform well
30,Very Satisfied,Good.,With a small time we finish the task.,We have to fast enough for taking decision.,Involvement.,Helped the team.
26,Very Satisfied,excellent,very supportive,n/a,n/a,no idea
38,Somewhat satisfied,its good to work on team very well performers are in team,support each other and every one  ideas will taken in this team ,some ones are not response correctly,everyone need to support each other ,i take forward my team and i will reach best level of my team
3,Somewhat satisfied,Good,Does the work assigned to them correctly,Late responses and inability or refusing to say their point in the project,All must share their views for upgrading and be attentive regarding project,I would have make each and everyone to be attentive and share their views regarding project.
Team 14,Very Satisfied,Good,Everyone helped each other,NA,Open Talks,Complete the task in meeting together 
Iswarya D,Very Satisfied,i really got a good team and i m vry excited to be part of it,Good coordination and time management,NA,NA, ILL share the work with team members aand we will do smart work on it
47,Neither satisfied nor dissatisfied,Only one word 'good',Any time conducted meet everyone join at right time,All members not replying to imp message in grp,Regular contact to group members ,Strictly monitoring 
12,Very Satisfied,I'm really happy with my team members determination to finish our project.,coordination,Nil,conquer difficult tasks first,Plan and prioritize
50,Somewhat satisfied,Team is performing good and all are on track now.,"Now, Everyone is catching up and giving their contribution","I was trying to get everyone together. But, no one was responding in the group for the first day. So, I arranged a team meeting and informed everyone prior. But only few teammates managed to join. That was the bad thing because of no initiatives from team members it took some time for us to come together. But now we are together and working on it.",Everyone should involve in what's going on and give their individual contribution.,"Firstly my task would be to get all the team together, make them comfortable with each other. Which I did so. After that i would divide the work which has to be done and try to complete the work as soon as possible."
6,Somewhat satisfied,good,everybody is of helping nature,nothing,doubt clearing session,same as current team leader
47,Somewhat satisfied,Good,Helping Eachother,Nothing,more interaction,Divide the based on their interest.
2,Very Satisfied,good,team work,no bad things,verbal communication,i wil help my teammates in which area they are struggling to finish their work
16,Somewhat satisfied,good working experience,good coordination,nothing,personal reseach,I am not the team leader
8,Very Satisfied,good,collabaration,nothing,,make them comfortable and  wiiling to learn more diffferent things to implement in the project
24,Very Satisfied,"my team is performing well, we are organising meet and talk to each other on task",collabrative property,,we able to do some more complex stuff,take whole team together and always find a good solution of problem 
32,Somewhat satisfied,"Overall work is divided,so everyone is working on a specific task.",Few things are new for us so everyone are working for it.,Few people are shy they don't speak until their opinion is asked personally.,Everyone should give their opinion by their own for going with best idea.,"Firstly,it's important to become friends with every member so that they will freely share their opinion."
Team 30,Very Satisfied,Excellent,We conducted daily two meetings for discussion about project,Decision about selection of project took time,Should have started our project early,Planning everything according to given schedule
43,Very Satisfied,Very Satisfied  works with proper planning,"proper planning , division of task and achieve within given test line ",none,Nothing we work together properly,getting better training platform to upgrade everyone knowledge 
7,Very Satisfied,All my team members are set the alarm to ask which process are you doing is that part clear and what was difficulties u faced and give an explanation to it. It's all good to be with my team. ,Good thing about my team is coordination and allocating the meeting which we can get points to assign what should to be do and don't.,I will say that in my team no bad thing is required.,The better performance is all of us to think these projects are the first starting gear to boost up to face any kind of projects,I would request them to think more ideas about our projects are processed before and after the implementing part because it will help to improve for upcoming projects.
Team 21,Very Satisfied,Good,Actively partcipating and coordination between each other.,Nothing,Motivation,I will give my best to encourage my team to do the work within a time and I will ask them to help each other.
25,Somewhat satisfied,Good,we are united when there is any new ideas or any suggestion we all support eachother,Nothing,Everyone in the team should give an suggestion for the projects,We are working with the additional features to be added in this project
Team- 7,Very Satisfied,Very satisfied,Synergy,Nothing,Contribute more time,Will conduct more connect sessions
13,Very Satisfied,Good,Coordination,NA,,
13,Very Satisfied,"experiance was good for this team,they are all understanding supportive to each member",Team work well togather. all members are contributing for project.,Nothing..,We are working with planning and executed on time,If i was a team leader i will take care of all members suggestions...
14,Somewhat satisfied,Good,Everyone attends the meeting,Some of them don't voice their opinions/suggestions,,
30,Somewhat satisfied,good,doing their assigned works clearly,coordination,,I will build  coordination in the team
37,Very Satisfied,Good,Responding very quickly  ,Nothing ,need some mentor guidance,"I wish I'd been open to challenging myself, Moreover making the team top-level."
25,Very Satisfied,We are doing good.  No problems.,Some people are more talkative and some are good at doing their part within the said time. ,Nothing,Talk to each other more ,Nothing.  They are doing good just as expected.
2,Very Satisfied,great,very helpful,nothing,nothing,individual contribution
Team - 5,Somewhat satisfied,good,That everyone join the meeting and talk about our project,Some people did not response in time,contact in time and give their usefull thaught,in mean time i am teamleader right now and i am try to connect everyone and make project as good as possible
15,Very Satisfied,Team was very co-operative.,Giving feedbacks and listening to suggestions of others,na,need more interaction,na
23,Very Satisfied,The team is performing well and good.. team members are very hardworking,Team members are very good in communication and they listen to each other's plans,May b nothing..,Need to do faster work,As a team leader i would have taken action if i see anybody in team not performing to the standards that team expects
15,Somewhat satisfied,Good,Cooperative,Yet to Find,More Communication required,Leader working as per suggestion of group members
47,Somewhat satisfied,GOOD ,Interacting,not resolved everything,Need some more tech basics to implement project,I'll lead in a new way to implement new thing which are different
39,Very Satisfied,Good,They help each other,None,None,None
13,Very Satisfied,All the team member are equally contributing to the project work.,In my team all the member listen about the work assign to them all complete their work properly.,One of the team member is not contributing to the project some times but sometimes they do the work perfectly. ,We should ask the doubt to each other we could not understand the things properly.,If i was a team leader i would assign the work equally to all the members and if any member has not completed the work i would tell other members to help him.
15,Very Satisfied,Co-operative,Listening to suggestions,NA,More interaction,NA
1,Somewhat satisfied,SATISFIED,GOOD TEAM WITH GREAT IDEAS,LACK OF CONNECTION,PROPER CONNECTION REQUIRED,NA
29,Very Satisfied,my team is very supportive and good in working,all are satisfied with own project part of work,all  are  trying to complete whole part of work alone,still we are learning so we need more time to learn,I AM TEAM LEADER so i suggested and distributed the part of work to all and also help to them .
2,Very Satisfied,good,Interacting eachother,,,
40,Very Satisfied,Excellent,Coordination,NA,NA,NA
50,Very Satisfied,AWESOME.,VERY RESPONSIVE AND HELPFUL.,PROBABLY BAD ON TIME MANAGING .,I'M NOT SURE EITHEIR.,"NOPE,PROBABLY EVERYTHING LOOKS FINE."
47,Very Satisfied,Good team working,Helping and solving out each other's peroblem!,nothing,Learn more about the project!,I would done it in a very good manner and maintaining time discipline!
40,Very Satisfied,Everyone work well towards project,Everyone contribute to the project is good,our team is quite little slow,To work daily task little faster,I believe in being open minded words will make them learn something new everyday
47,Somewhat satisfied,good team work,every one is interacting,NA,motivation ,i try to interact will team members
33,Very Satisfied,Totally satisfied with the team's performance. The way members have handled the workload is outstanding.,I am pleased with the team because they have managed the project very well in such short time. Every team member has contributed in project with immense pleasure.,As such there is not any bad thing about team except longer duration of team meetings.,Team needs to improve a little bit in coordination part else every thing is fine. ,"I would have asked every team member to contribute in every part of the project like design, coding etc. This will lead to improve the team work."
15,Very Satisfied,They are very good,Some people are very interactive,At starting we struggled to mingle ,Some people are still not interacting with team.if remaining people also get  interact with team  we'll do the best.,I'll be intracting with everyone and I'll support each and every person in the team.I treat everyone as equal.
36,Very Satisfied,Good,Helping each other,Nothing,nothing,Coding part
35,Somewhat satisfied,good,understanding,didn't find anything yet,speaking more with others,if more time is there we might be more familiar with everyone in the team
37,Somewhat satisfied,Good atmosphere to work with the team,individual contributions to support the project,No issue,No improvements required,Nothing to improve
7,Very Satisfied,"My team is very good, they are responding quickly but one or two guys are not, but it's fine now they are available. ",Cooperation,Nothing,Everyone should join,"If i got a team leader, I will try to take extra time to spend with the guys whom having less knowledge about that project and i will guide them with more coordination."
15,Somewhat satisfied,Overall good performance,Collaborative nature,not responded quickly,they should respond quickly and give updating ,"I would be take an initiative to taking meet, discussion about project requirements and all necessary things."
7,Somewhat satisfied,good,team work,nothing,better performance,no
30,Somewhat satisfied,good,doing their assigned works clearly,coordination,punctuality and coordination,I will build coordination with in the team
31,Somewhat satisfied,Good,team workNothing,Nothing,better performane,No
35 ,Somewhat satisfied,Average,Everyone  Understand  problem,"Not replying everyone in the group, So it is difficult to everyone decide final result.",need to participate more in the decision,I gave my project idea in the group they are ok with that and I design the project that which module we have to add on this project. I designed Onboarding module of the project and Implement it.
5,Very Satisfied,Good ,Freindly Collaborating each other,Nothing,Updating ours skills from our team members and our self ,Collaborate with team members like team member only 
13,Very Satisfied,good ,Team work,rushing,we have to improve our skils,i will motivate my team members to complete the given given task intime 
29,Very Satisfied,it was a good,Hardworking,Nothing,Managing time,would follow each and everything to finish the task with higher rate of accuracy 
12,Somewhat satisfied,Good,,,Clear communication ,Plan and prioritise 
18,Somewhat satisfied,Good team,Co-ordination,no team lead,+,Improvise Work and quality
32,Very Satisfied,Good,Teamspirit,every thing is going to fine,nothing,nothing
24,Very Satisfied,Pretty good,Equal distribution of task and coordination,10 people have different ideas and opinions.so some what difficult to correlate,Arrange more meeting sessions ,we could have arranged more meetings for discussion
35,Very Satisfied,EACH TEAM MEMBERS ARE HELPING NATURE,THEY RESOLVING EVERYONE QUERY,SOMETIMES DISCUSSION BECOME LENGTHY,TIME MANAGEMENT,
Piyush Vinod Bobade,Very Satisfied,i really got a good team and very excited to be part of the team,good coordination and time management,NA,NA,ill share the work with tema members and we will do smart work on it
22,Somewhat satisfied,Good,Intrested to do project with eachother and Contributing to finish the project,Little delay on doing project,Interacting with each other is Less according to me,I will said timeline to finish the work and Time management
49,Very Satisfied,All are working Good ,The one who takes leadership to manage other members for how to work is very good thing about me,Takes more time to finalize one thing about project.,Need all cooperation for project work,Divides the work for all members
Team-21,Very Satisfied,"team is good, they are very coorinative each member works on each and every module and also they put thier efforts ",every teammate update each and every information i.e what they added and what they modify.,when we conducting meets in team for group discussion regarding project some of them are not attending,Need to fulfill a  little bit communication gap and To react on other opinions  should be quick,i would like  to implement  more test cases .and help to others team members by giving suggestions and feedback on their work in every task of a modules
36,Somewhat satisfied,Good,We co-ordinate when there is any issue occured,No,They have to do more research for any query,I have co ordinated and brief them about the idea project 
Team 23,Very Satisfied,Very good,Cooperative ,I think nothing,More & more research on the project.,"Gave the work to the each team member, so they contribute in the project equally & help each other."
14,Very Satisfied,Good team work,Coordination,Nothing ,Daily updating Project status,Adding some additional  features
45,Very Satisfied,"co-ordination, attentive",giving space to all to share queries,nothing ,to review work and giving feedback to all,"if anyone struggling in work, try to clear issues "
47,Very Satisfied,Great team,very interactive and supportive team,No bad thing,Do not lose the focus on project,first we are discuss the topic then collect the information related this topic then we work on this project and we will do our best compare others.
